statis_date,data_date,open_id,app,hash_id,坦克,战士,法师,刺客,辅助,射手,突进,收割,团控,远程消耗,先手,团队增益,其他,吸血,回复
20160801,20160627,owanlsssDmqX461TERFix4CMXP_Y,wx,2622371989534448008,0.028409090909090908,0.32386363636363635,0.011363636363636364,0.2727272727272727,0.0,0.36363636363636365,0.48295454545454547,0.07954545454545454,0.19886363636363635,0.011363636363636364,0.17045454545454544,0.0,0.056818181818181816,0.0,0.0
20160801,20160707,0DDAD757097D31FB24E1BD4B968ABABB,qq,-4269905175564464566,0.10256410256410256,0.2948717948717949,0.14102564102564102,0.28205128205128205,0.0,0.1794871794871795,0.5384615384615384,0.16666666666666666,0.16666666666666666,0.05128205128205128,0.0641025641025641,0.0,0.0,0.0,0.01282051282051282
20160801,20160707,165D9514534F72EF9DB974358236AC0D,qq,-2560919745578735932,0.075,0.275,0.075,0.325,0.0,0.25,0.45,0.15,0.2,0.05,0.1,0.0,0.05,0.0,0.0
20160801,20160707,38B15523AC01D91BC45CEF78D2ABC7E6,qq,5735397052373850756,0.07352941176470588,0.36764705882352944,0.029411764705882353,0.4117647058823529,0.0,0.11764705882352941,0.4852941176470588,0.17647058823529413,0.19117647058823528,0.058823529411764705,0.014705882352941176,0.0,0.058823529411764705,0.0,0.014705882352941176
20160801,20160707,516D4A4B7B7FF7F2CF6E3F3D370F4DFA,qq,71791468923635880,0.06862745098039216,0.28431372549019607,0.0784313725490196,0.3137254901960784,0.0,0.2549019607843137,0.45098039215686275,0.1568627450980392,0.18627450980392157,0.0196078431372549,0.10784313725490197,0.0,0.0392156862745098,0.0196078431372549,0.0196078431372549
20160801,20160707,5A12169701EC21ED5FE303D38E716323,qq,6825605138651417396,0.12121212121212122,0.2727272727272727,0.18181818181818182,0.2727272727272727,0.0,0.15151515151515152,0.4696969696969697,0.19696969696969696,0.13636363636363635,0.045454545454545456,0.07575757575757576,0.0,0.06060606060606061,0.0,0.015151515151515152
20160801,20160707,5F29978B637E79B88DB3CA6A7358EF2D,qq,5650840017606450892,0.15625,0.25,0.140625,0.34375,0.015625,0.09375,0.4375,0.234375,0.15625,0.046875,0.046875,0.0,0.03125,0.03125,0.015625
20160801,20160707,89C7C2935C9F1C495F3F1A190A1D2838,qq,1097429770071334028,0.13157894736842105,0.2631578947368421,0.13157894736842105,0.3157894736842105,0.0,0.15789473684210525,0.42105263157894735,0.21052631578947367,0.18421052631578946,0.05263157894736842,0.07894736842105263,0.0,0.05263157894736842,0.0,0.0
20160801,20160707,9AA74F214B08744057543BCE99AC5E2A,qq,5271981688800991138,0.125,0.3,0.1,0.325,0.0,0.15,0.45,0.175,0.225,0.025,0.075,0.0,0.05,0.0,0.0
20160801,20160707,A77076303504B1F0B46A8F76FD734777,qq,-5527280252490944030,0.1111111111111111,0.3148148148148148,0.07407407407407407,0.3148148148148148,0.037037037037037035,0.14814814814814814,0.48148148148148145,0.18518518518518517,0.14814814814814814,0.037037037037037035,0.0,0.018518518518518517,0.1111111111111111,0.0,0.018518518518518517
20160801,20160707,BD5C6C9663117D3CFD9D6D0DCE490F45,qq,-3053035645682827026,0.06896551724137931,0.3448275862068966,0.06896551724137931,0.3448275862068966,0.0,0.1724137931034483,0.4827586206896552,0.1724137931034483,0.22413793103448276,0.034482758620689655,0.034482758620689655,0.0,0.034482758620689655,0.0,0.017241379310344827
20160801,20160707,ED09028A4833F457E6CC17798088DEA5,qq,-6309565053745307778,0.07692307692307693,0.2923076923076923,0.11538461538461539,0.34615384615384615,0.015384615384615385,0.15384615384615385,0.4153846153846154,0.19230769230769232,0.2230769230769231,0.023076923076923078,0.08461538461538462,0.015384615384615385,0.046153846153846156,0.0,0.0
20160801,20160707,F19B45D3EBD30524C831EEE6D8D236A4,qq,3725356305531957028,0.0,0.35714285714285715,0.0,0.35714285714285715,0.0,0.2857142857142857,0.42857142857142855,0.21428571428571427,0.21428571428571427,0.07142857142857142,0.07142857142857142,0.0,0.0,0.0,0.0
20160801,20160707,F5001D4E7EACB93F4E1442009EE315C3,qq,-2342843605338208802,0.14285714285714285,0.2619047619047619,0.16666666666666666,0.23809523809523808,0.0,0.19047619047619047,0.47619047619047616,0.19047619047619047,0.14285714285714285,0.047619047619047616,0.09523809523809523,0.0,0.047619047619047616,0.0,0.0
20160801,20160707,owanlskBVCPM7dNmCvkO6wQf8wmQ,wx,6840216621124489163,0.08823529411764706,0.35294117647058826,0.0,0.5,0.0,0.058823529411764705,0.4411764705882353,0.17647058823529413,0.23529411764705882,0.0,0.029411764705882353,0.0,0.11764705882352941,0.0,0.0
20160801,20160707,owanlsmbt0j6g-TXtzItLrbOWQWM,wx,-7160484873243615799,0.0945945945945946,0.34459459459459457,0.0,0.49324324324324326,0.0,0.06756756756756757,0.43243243243243246,0.16891891891891891,0.22972972972972974,0.0,0.013513513513513514,0.0,0.14864864864864866,0.0,0.006756756756756757
20160801,20160707,owanlsrm1f9sbLwJj369YbrDA9M4,wx,5240253397807095451,0.047619047619047616,0.29365079365079366,0.09523809523809523,0.3412698412698413,0.0,0.2222222222222222,0.4365079365079365,0.23015873015873015,0.18253968253968253,0.07142857142857142,0.06349206349206349,0.0,0.015873015873015872,0.0,0.0
20160801,20160707,owanlstz3deXJQDLgYtBhphPW-Go,wx,-2775184326148658123,0.017241379310344827,0.3103448275862069,0.017241379310344827,0.3103448275862069,0.0,0.3448275862068966,0.5,0.1206896551724138,0.1896551724137931,0.0,0.15517241379310345,0.0,0.034482758620689655,0.0,0.0
